#Reynolds	C_d
0.0334812	137.873
0.0399494	118.881
0.0485156	102.507
0.0643561	84.8892
0.0795444	75.1988
0.101856	63.1182
0.130434	50.1964
0.158405	42.7028
0.199284	36.3288
0.246337	30.0834
0.321063	24.2497
0.396855	20.6298
0.517187	18.0308
0.674028	15.3398
0.804256	13.0497
0.926309	11.7163
1.10521		10.5195
1.36608		9.07071
1.62991		8.14414
2.12427		6.74432
2.57964		6.05547
3.36188		5.22168
4.22934		4.56371
5.32063		3.98865
6.57654		3.43931
8.42061		3.04678
11.1690		2.69912
14.5559		2.32747
18.3111		2.08980
22.6314		1.92768
28.4690		1.77815
38.4325		1.59665
45.6908		1.50081
59.7517		1.37699
73.8451		1.33334
93.8771		1.27725
117.661		1.30533
141.364		1.27764
160.517		1.25048
198.375		1.22398
235.000		1.18515
302.979		1.18537
385.168		1.13550
469.345		1.09950
596.648		1.07622
706.814		1.03089
898.551		0.98752
1208.65		0.94602
1472.74		0.94616
1820.11		0.91617
2313.72		0.91633
2859.30		0.92641
3583.65		0.95704
4428.62		0.97807
5550.54		1.01041
6956.77		1.03262
8843.21		1.05533
10928.0		1.10204
13128.5		1.13844
16926.0		1.15100
22446.2		1.18911
28532.9		1.21526
36786.7		1.21548
47428.0		1.21571
64699.5		1.21599
88260.5		1.21626
122113		1.21655
157437		1.21678
197329		1.21698
292981		1.21733
422888		1.21766
585089		1.21795
844506		1.23149
986387		1.20534
